,PPV,TPR,F1,INF
6SWA_s,,,,
6T3K_A,0.608,0.73,0.664,0.666
6T3S_A,0.593,0.714,0.648,0.651
6TB7_A,,,,
6TF1_A,,,,
6TF2_A,,,,
6TF3_A,,,,
6TFE_A,,,,
6TFF_A,,,,
6TFG_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6VMY_A,0.419,0.5,0.456,0.457
6VU3_A,,,,
6VU3_B,,,,
6VU3_d,,,,
6VVJ_A,0.824,0.977,0.894,0.897
6VWL_3,,,,
6VWL_5,,,,
6VWM_3,,,,
6VWM_5,0.444,0.444,0.444,0.444
6VWN_3,,,,
6VWN_5,0.944,1.0,0.971,0.972
6VWT_A,0.84,1.0,0.913,0.917
6VWT_B,0.84,1.0,0.913,0.917
6VWV_A,0.84,1.0,0.913,0.917
6VWV_B,0.84,1.0,0.913,0.917
6VYQ_A,,,,
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_A,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_A,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_A,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_A,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_A,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_A,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_A,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_A,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_A,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_A,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_A,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_A,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_A,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_u,1.0,1.0,1.0,1.0
6W6L_v,0.5,0.529,0.514,0.514
6W6P_B,,,,
6W6V_A,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.913,1.0,0.955,0.956
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.955,1.0,0.977,0.977
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.917,1.0,0.957,0.957
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.913,1.0,0.955,0.956
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,1.0,1.0,1.0,1.0
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,1.0,1.0,1.0,1.0
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.952,1.0,0.976,0.976
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.955,1.0,0.977,0.977
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.913,1.0,0.955,0.956
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.955,1.0,0.977,0.977
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.913,1.0,0.955,0.956
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,1.0,1.0,1.0,1.0
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.952,1.0,0.976,0.976
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.913,1.0,0.955,0.956
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.955,1.0,0.977,0.977
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.913,1.0,0.955,0.956
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.913,1.0,0.955,0.956
6WJR_X,,,,
6WJS_X,,,,
6WLL_A,0.6,0.675,0.635,0.636
6WLM_A,0.574,0.675,0.621,0.623
6WLQ_A,,,,
6WLR_A,,,,
6WLS_A,,,,
6WLT_A,0.899,0.912,0.905,0.905
6WLU_A,0.899,0.912,0.905,0.905
6WNW_5,,,,
6WNW_7,0.955,1.0,0.977,0.977
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WTL_A,,,,
6WTR_A,,,,
6WU9_B,,,,
6WUA_a,0.663,0.657,0.66,0.66
6WYV_J,,,,
6WZS_A,0.45,0.75,0.563,0.581
6X6T_A,,,,
6X6T_B,,,,
6X6T_d,,,,
6X7F_A,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_A,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_A,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_A,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_A,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_A,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.286,0.286,0.286,0.286
6XHV_1x,,,,
6XHV_1y,0.286,0.286,0.286,0.286
6XHV_2B,,,,
6XHV_2x,,,,
6XHW_1B,,,,
6XHW_1w,0.286,0.286,0.286,0.286
6XHW_1x,,,,
6XHW_1y,0.316,0.316,0.316,0.316
6XHW_2B,,,,
6XHW_2x,,,,
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.286,0.286,0.286,0.286
6XHY_1x,,,,
6XHY_1y,0.316,0.316,0.316,0.316
6XHY_2B,,,,
6XHY_2x,,,,
6XII_A,,,,
6XII_B,,,,
6XII_d,,,,
6XIJ_A,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XKN_A,,,,
6XKO_A,,,,
6XQD_1B,,,,
6XQD_1x,,,,
