,PPV,TPR,F1,INF
6ZYM_5,0.053,0.143,0.077,0.087
6ZYM_6,0.0,0.0,0.0,0.0
7A01_d2,,,,
7A09_f,,,,
7A5F_24,0.024,0.077,0.037,0.043
7A5G_24,0.0,0.0,0.0,0.0
7A5H_24,0.0,0.0,0.0,0.0
7A5I_94,0.0,0.0,0.0,0.0
7A5I_99,,,,
7A5I_X,,,,
7A5J_x,0.0,0.0,0.0,0.0
7A5K_24,,,,
7A5K_FE,,,,
7A5P_5,0.0,0.0,0.0,0.0
7AAV_5,0.0,0.0,0.0,0.0
7AAV_6,0.0,0.0,0.0,0.0
7ABF_5,0.167,0.2,0.182,0.183
7ABF_6,0.0,0.0,0.0,0.0
7ABG_5,,,,
7ABH_2,0.0,0.0,0.0,0.0
7ABI_5,,,,
7ABZ_3,,,,
7ABZ_7,0.059,0.167,0.087,0.099
7AC7_3,,,,
7AC7_7,0.0,0.0,0.0,0.0
7ACJ_3,0.656,0.636,0.646,0.646
7ACR_3,0.735,0.758,0.746,0.746
7AQC_B,0.641,0.806,0.714,0.719
7AQC_P,,,,
7AQD_B,,,,
7AS8_2,,,,
7AS8_B,,,,
7AS9_2,,,,
7AS9_B,,,,
7ASA_2,0.0,0.0,0.0,0.0
7ASE_1,,,,
7ASM_B,0.618,0.75,0.677,0.681
7ASN_B,0.12,0.429,0.188,0.227
7ASP_3,,,,
7AZY_F,0.645,0.571,0.606,0.607
7B5K_9,,,,
7B5K_B,,,,
7B5K_x,,,,
7B5K_z,0.727,0.8,0.762,0.763
7B7D_LB,,,,
7B7D_Sm,0.529,0.947,0.679,0.708
7B9V_5,0.043,0.118,0.063,0.072
7BG9_B,0.012,0.077,0.021,0.03
7BGB_B,0.0,0.0,0.0,0.0
7BHP_L7,0.538,0.972,0.693,0.724
7BL2_B,0.697,0.719,0.708,0.708
7BL3_B,,,,
7BL4_B,,,,
7BL5_B,,,,
7BL6_B,,,,
7BT6_3,,,,
7BTB_3,0.619,0.481,0.542,0.546
7BV8_B,0.639,0.639,0.639,0.639
7CHD_I,0.125,0.286,0.174,0.189
7CHD_J,0.125,0.286,0.174,0.189
7CPJ_9,0.65,0.619,0.634,0.634
7CPJ_B,,,,
7CPU_L7,,,,
7CPU_S6,,,,
7CPV_L7,,,,
7CPV_S6,,,,
7D6Z_2,,,,
7D6Z_3,0.16,0.25,0.195,0.2
7D6Z_4,0.05,0.1,0.067,0.071
7D6Z_B,0.692,0.771,0.73,0.731
7D7W_A,,,,
7D7X_A,,,,
7D7Y_A,,,,
7D7Z_A,,,,
7D80_X,,,,
7D80_Z,0.0,0.0,0.0,0.0
7D81_A,,,,
7D82_A,,,,
7DA7_C,0.0,0.0,0.0,0.0
7DAS_C,0.0,0.0,0.0,0.0
7DCO_B,0.0,0.0,0.0,0.0
7DVQ_B,0.0,0.0,0.0,0.0
7E8O_X,0.105,0.2,0.138,0.145
7ELP_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7EQJ_B,,,,
7F36_E,0.474,0.563,0.514,0.516
7F36_F,,,,
7F36_H,,,,
7JIL_3,0.59,0.767,0.667,0.672
7JQC_i,0.0,0.0,0.0,0.0
7JQL_1B,,,,
7JQL_1x,,,,
7JQL_2B,0.508,0.943,0.66,0.692
7JQL_2x,0.107,0.273,0.154,0.171
7JQM_1B,,,,
7JQM_1x,,,,
7JQM_2B,0.522,1.0,0.686,0.723
7JQM_2x,0.111,0.273,0.158,0.174
7JSS_2,0.675,0.75,0.711,0.712
7JSS_5,0.708,0.85,0.773,0.776
7JSW_2,0.694,0.758,0.725,0.725
7JSW_5,,,,
7JSZ_2,,,,
7JSZ_5,,,,
7JT1_2,,,,
7JT1_5,,,,
7JT2_2,,,,
7JT2_5,,,,
7JT3_2,,,,
7JT3_5,,,,
7K00_b,,,,
7K00_Z,,,,
7K50_2,,,,
