,PPV,TPR,F1,INF
4AY2_1_C,1.0,0.857,0.923,0.926
3OIN_1_C,1.0,1.0,1.0,1.0
7OX8_1_A,0.692,0.643,0.667,0.667
3RW6_1_H,0.762,0.842,0.8,0.801
5HO4_1_B,0.0,0.0,0.0,0.0
5ZW4_1_D,1.0,0.6,0.75,0.775
4ENC_1_A,0.867,0.867,0.867,0.867
7R81_1_B1,0.533,0.889,0.667,0.689
7MKY_1_A,0.731,0.95,0.826,0.833
6VQV_1_L,0.0,0.0,0.0,0.0
6SY6_1_D,0.2,0.333,0.25,0.258
5SWD_1_B,0.455,0.833,0.588,0.615
5HR7_1_D,0.65,0.765,0.703,0.705
6JOO_1_B,0.957,0.815,0.88,0.883
7OB9_1_R,0.0,0.0,0.0,0.0
5H9F_1_L,1.0,0.8,0.889,0.894
6YS3_1_v,0.364,0.4,0.381,0.381
4JF2_1_A,0.778,0.84,0.808,0.808
6TC3_1_PTR1,0.0,0.0,0.0,0.0
5F5H_1_D,0.667,1.0,0.8,0.816
5V3F_1_A,0.0,0.0,0.0,0.0
1SDS_1_D,0.0,0.0,0.0,0.0
6TQA_1_G,1.0,0.857,0.923,0.926
6M0X_1_B,0.357,0.417,0.385,0.386
6AZ3_1_4,0.379,0.468,0.419,0.421
6YDP_1_BB,0.467,0.875,0.609,0.639
6YYM_1_B,0.0,0.0,0.0,0.0
5ID6_1_G,0.714,1.0,0.833,0.845
1S03_1_A,0.688,0.846,0.759,0.763
5D8H_1_A,0.5,0.667,0.571,0.577
7RQB_1_1B,0.515,0.791,0.624,0.638
6AZ3_1_3,0.309,0.447,0.366,0.372
5T5H_1_D,0.024,0.04,0.03,0.031
6AZ3_1_8,0.4,0.552,0.464,0.47
7AQC_1_B,0.41,0.571,0.478,0.484
2VPL_1_B,0.875,0.875,0.875,0.875
3QJJ_1_Q,0.0,0.0,0.0,0.0
5BTM_1_A,0.5,1.0,0.667,0.707
6H9H_1_E,0.5,0.333,0.4,0.408
6MSF_1_S,0.0,0.0,0.0,0.0
6PRV_1_A,0.375,0.75,0.5,0.53
6B44_1_M,1.0,1.0,1.0,1.0
6UFG_1_B,0.647,0.55,0.595,0.597
6JJH_1_B,0.0,0.0,0.0,0.0
5XJ2_1_G,0.75,1.0,0.857,0.866
7ONU_1_T,0.476,0.714,0.571,0.583
7JNH_1_B,0.875,0.808,0.84,0.841
3JCS_1_5,0.143,0.19,0.163,0.165
6QW6_1_5,0.842,0.64,0.727,0.734
4AL5_1_B,1.0,0.75,0.857,0.866
3JCS_1_3,0.228,0.52,0.317,0.344
2HW8_1_B,0.857,0.923,0.889,0.889
1HMH_1_E,0.25,0.333,0.286,0.289
1EC6_1_D,0.8,1.0,0.889,0.894
4PKD_1_V,0.833,0.625,0.714,0.722
5TBW_1_AS,0.359,0.852,0.505,0.553
1RLG_1_D,0.0,0.0,0.0,0.0
5NDI_1_B,0.333,1.0,0.5,0.577
7O7Z_1_AH,0.773,1.0,0.872,0.879
4QOZ_1_A,1.0,0.5,0.667,0.707
7JIL_1_3,0.179,0.389,0.246,0.264
6LTU_1_B,1.0,1.0,1.0,1.0
6ZP4_1_1,0.652,0.682,0.667,0.667
6DB9_1_R,0.75,0.632,0.686,0.688
