,PPV,TPR,F1,INF
7D81_1_A,1.0,1.0,1.0,1.0
3D0U_1_A,0.786,0.917,0.846,0.849
3TS2_1_U,1.0,1.0,1.0,1.0
6R5Q_1_3,0.952,1.0,0.976,0.976
6DU4_1_B,1.0,1.0,1.0,1.0
3TS2_1_V,1.0,1.0,1.0,1.0
4JF2_1_A,0.792,1.0,0.884,0.89
6KC8_1_B,0.923,1.0,0.96,0.961
7OJN_1_D,0.0,0.0,0.0,0.0
4V8B_1_AB,0.952,0.909,0.93,0.93
4JXZ_1_B,0.95,1.0,0.974,0.975
6PIJ_1_1,0.0,0.0,0.0,0.0
4YCO_1_D,0.955,1.0,0.977,0.977
1F7U_1_B,0.353,0.353,0.353,0.353
7EL1_1_B,0.813,0.684,0.743,0.746
3OIN_1_C,1.0,1.0,1.0,1.0
7O1A_1_B8,0.955,1.0,0.977,0.977
5F5F_1_B,1.0,1.0,1.0,1.0
1Y26_1_X,0.84,1.0,0.913,0.917
6E1S_1_A,0.714,1.0,0.833,0.845
3TRZ_1_U,1.0,1.0,1.0,1.0
7OX8_1_A,0.824,0.824,0.824,0.824
6UFJ_1_C,0.333,0.444,0.381,0.385
3RG5_1_B,0.933,1.0,0.966,0.966
1L2X_1_A,0.625,1.0,0.769,0.791
6KWQ_1_B,0.0,0.0,0.0,0.0
4PRF_1_B,0.636,1.0,0.778,0.798
7O7Y_1_AT,0.353,0.353,0.353,0.353
3JCS_1_6,0.0,0.0,0.0,0.0
7RYG_1_v,0.8,0.842,0.821,0.821
3MXH_1_R,0.76,0.95,0.844,0.85
3SKL_1_B,0.833,1.0,0.909,0.913
6SQN_1_Y,1.0,1.0,1.0,1.0
6AAX_1_B,1.0,1.0,1.0,1.0
361D_1_B,1.0,1.0,1.0,1.0
7KKV_1_B,0.857,0.818,0.837,0.837
3OXE_1_A,0.962,0.962,0.962,0.962
6E8S_1_A,1.0,1.0,1.0,1.0
6B44_1_M,0.0,0.0,0.0,0.0
2C4Q_1_R,0.667,0.8,0.727,0.73
7CPU_1_S6,0.941,0.889,0.914,0.915
1U9S_1_A,0.714,0.778,0.745,0.745
7RYG_1_B,0.813,0.929,0.867,0.869
1RLG_1_D,0.8,0.8,0.8,0.8
6TFF_1_A,0.5,0.667,0.571,0.577
2OIU_1_Q,0.87,1.0,0.93,0.933
6LT7_1_C,0.929,1.0,0.963,0.964
3RKF_1_C,0.833,1.0,0.909,0.913
5F5H_1_C,1.0,1.0,1.0,1.0
3CUL_1_C,0.577,0.789,0.667,0.675
5T83_1_A,0.609,0.778,0.683,0.688
4ENC_1_A,0.333,0.417,0.37,0.373
7MKY_1_A,0.808,1.0,0.894,0.899
7C79_1_A,0.716,0.707,0.712,0.712
2QWY_1_C,0.462,1.0,0.632,0.679
7OSM_1_ASIT,0.923,0.857,0.889,0.889
2Y8W_1_B,1.0,1.0,1.0,1.0
5E81_1_1K,0.643,0.9,0.75,0.761
5IBB_1_1L,1.0,1.0,1.0,1.0
7L0Z_1_G,0.905,0.95,0.927,0.927
6E8T_1_D,1.0,1.0,1.0,1.0
5T5A_1_A,0.381,0.5,0.432,0.436
5T5H_1_D,0.697,0.821,0.754,0.757
1GAX_1_D,0.955,1.0,0.977,0.977
6JQ6_1_U,0.947,0.947,0.947,0.947
6KYV_1_G,1.0,1.0,1.0,1.0
5D0B_1_F,0.833,1.0,0.909,0.913
4QEI_1_C,0.952,1.0,0.976,0.976
1ZBH_1_F,1.0,1.0,1.0,1.0
2Y9H_1_F,1.0,1.0,1.0,1.0
2ZUE_1_B,0.955,1.0,0.977,0.977
5CCB_1_N,0.913,1.0,0.955,0.956
6GSJ_1_1K,1.0,1.0,1.0,1.0
7AQC_1_T,0.95,1.0,0.974,0.975
5M0I_1_F,1.0,1.0,1.0,1.0
1MJI_1_D,0.9,1.0,0.947,0.949
3NKB_1_B,0.737,0.667,0.7,0.701
7AQC_1_B,0.677,0.7,0.689,0.689
7JNH_1_B,1.0,1.0,1.0,1.0
3ZGZ_1_B,0.76,1.0,0.864,0.872
3LQX_1_B,1.0,1.0,1.0,1.0
6DME_1_A,0.839,0.929,0.881,0.882
4NLF_1_A,1.0,1.0,1.0,1.0
7KVT_1_B,0.909,1.0,0.952,0.953
6YS3_1_v,1.0,1.0,1.0,1.0
7OB9_1_R,0.0,0.0,0.0,0.0
1F1T_1_A,0.9,1.0,0.947,0.949
7OX9_1_A,0.824,0.778,0.8,0.8
3DIL_1_A,0.823,0.944,0.879,0.881
5XUZ_1_B,0.0,0.0,0.0,0.0
6FZ0_1_A,0.0,0.0,0.0,0.0
5T16_1_H,1.0,1.0,1.0,1.0
4OOG_1_D,1.0,1.0,1.0,1.0
3KFU_1_L,0.955,1.0,0.977,0.977
6AZ3_1_8,0.833,0.909,0.87,0.87
2R8S_1_R,0.644,0.659,0.652,0.652
4C8Z_1_C,1.0,1.0,1.0,1.0
4ZDO_1_E,0.63,0.68,0.654,0.654
5JBG_1_X,0.889,1.0,0.941,0.943
6Y2L_1_B4,0.95,1.0,0.974,0.975
5UZ6_1_A,1.0,1.0,1.0,1.0
2XLK_1_C,1.0,1.0,1.0,1.0
6ZVI_1_e,0.9,0.947,0.923,0.923
2Y9H_1_N,1.0,1.0,1.0,1.0
6YDP_1_BB,0.579,0.688,0.629,0.631
6YAL_1_1,1.0,1.0,1.0,1.0
4LGT_1_E,0.667,0.8,0.727,0.73
5WLH_1_B,0.8,1.0,0.889,0.894
6AZ3_1_4,0.708,0.773,0.739,0.74
1R3E_1_C,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.652,0.588,0.591
4C9D_1_D,0.0,0.0,0.0,0.0
5M0I_1_E,1.0,1.0,1.0,1.0
5VJ9_1_C,1.0,1.0,1.0,1.0
3SUX_1_X,0.7,0.75,0.724,0.725
7D8O_1_B,0.0,0.0,0.0,0.0
4M6D_1_H,0.667,0.889,0.762,0.77
6MWN_1_B,0.867,0.867,0.867,0.867
5E81_1_3L,0.938,1.0,0.968,0.968
6XA1_1_Bv,0.353,0.353,0.353,0.353
5Y85_1_D,1.0,1.0,1.0,1.0
1L9A_1_B,0.974,1.0,0.987,0.987
6Q8V_1_A,0.6,1.0,0.75,0.775
5FJ4_1_H,1.0,1.0,1.0,1.0
6E8T_1_A,1.0,1.0,1.0,1.0
6AJK_1_B,1.0,1.0,1.0,1.0
7LYT_1_B,1.0,1.0,1.0,1.0
6OL3_1_C,0.935,1.0,0.966,0.967
6R5Q_1_2,0.933,1.0,0.966,0.966
7KGA_1_B,0.724,1.0,0.84,0.851
7O7Y_1_B7,0.6,0.618,0.609,0.609
5K7D_1_A,0.5,0.75,0.6,0.612
3ADD_1_C,0.97,1.0,0.985,0.985
6ERI_1_Ax,0.771,0.771,0.771,0.771
1Q96_1_A,0.833,1.0,0.909,0.913
5H9F_1_L,1.0,1.0,1.0,1.0
6KWR_1_B,0.0,0.0,0.0,0.0
4N0T_1_B,0.438,0.5,0.467,0.468
1H4S_1_T,0.45,0.5,0.474,0.474
5D5L_1_A,0.792,1.0,0.884,0.89
1OOA_1_C,1.0,1.0,1.0,1.0
5HC9_1_D,0.955,1.0,0.977,0.977
7MLW_1_F,0.7,0.737,0.718,0.718
6PMO_1_B,0.909,1.0,0.952,0.953
7O80_1_AT,0.957,1.0,0.978,0.978
7P3K_1_V,0.952,1.0,0.976,0.976
4P95_1_A,0.517,0.633,0.569,0.572
6FQL_1_B,1.0,1.0,1.0,1.0
1U1Y_1_R,0.6,0.6,0.6,0.6
6LAX_1_A,1.0,1.0,1.0,1.0
6TQA_1_G,1.0,1.0,1.0,1.0
4RGE_1_C,0.1,0.182,0.129,0.135
2Y9H_1_H,1.0,1.0,1.0,1.0
4ATO_1_G,0.429,0.333,0.375,0.378
6SY4_1_C,1.0,1.0,1.0,1.0
5AH5_1_D,0.913,1.0,0.955,0.956
4RUM_1_A,0.966,1.0,0.982,0.983
6XU8_1_A7,0.567,0.607,0.586,0.587
6F4H_1_B,1.0,1.0,1.0,1.0
5B2P_1_B,0.524,0.55,0.537,0.537
5UDZ_1_W,1.0,1.0,1.0,1.0
6ZU5_1_L70,0.829,0.784,0.806,0.806
3BT7_1_D,1.0,1.0,1.0,1.0
7CPU_1_L7,0.639,0.639,0.639,0.639
6MSF_1_R,1.0,1.0,1.0,1.0
6YML_1_A,0.5,0.429,0.462,0.463
7B5K_1_z,0.947,1.0,0.973,0.973
3JCS_1_5,0.222,0.2,0.211,0.211
3AM1_1_B,0.933,1.0,0.966,0.966
3NDB_1_M,1.0,1.0,1.0,1.0
6PRV_1_A,0.929,1.0,0.963,0.964
7MQA_1_L2,0.628,0.628,0.628,0.628
6DB9_1_R,0.778,0.824,0.8,0.8
7OT5_1_z,0.421,0.421,0.421,0.421
7REX_1_A,1.0,1.0,1.0,1.0
2Y9H_1_J,1.0,1.0,1.0,1.0
4X4U_1_G,0.714,1.0,0.833,0.845
7OBR_1_1,0.838,0.861,0.849,0.849
6P2H_1_A,0.65,0.765,0.703,0.705
6DLR_1_A,0.781,0.893,0.833,0.835
1HMH_1_E,1.0,1.0,1.0,1.0
7EU9_1_B,0.833,1.0,0.909,0.913
5T5H_1_H,0.148,0.167,0.157,0.157
5M0H_1_A,1.0,1.0,1.0,1.0
2XDB_1_G,0.0,0.0,0.0,0.0
1XJR_1_A,0.933,1.0,0.966,0.966
6U8D_1_A,0.963,1.0,0.981,0.981
6DVK_1_H,1.0,1.0,1.0,1.0
6ASO_1_I,0.706,1.0,0.828,0.84
2QUX_1_F,1.0,1.0,1.0,1.0
4AL5_1_B,1.0,1.0,1.0,1.0
4KR6_1_D,0.9,0.9,0.9,0.9
6IV9_1_B,0.889,0.889,0.889,0.889
5FQ5_1_A,0.471,0.727,0.571,0.585
4BW0_1_A,1.0,1.0,1.0,1.0
1ET4_1_A,0.375,0.75,0.5,0.53
7AS8_1_2,0.947,1.0,0.973,0.973
5FJC_1_A,0.793,1.0,0.885,0.891
6F4G_1_C,1.0,1.0,1.0,1.0
7MSF_1_R,1.0,1.0,1.0,1.0
1U0B_1_A,1.0,1.0,1.0,1.0
6N5P_1_A,0.583,0.75,0.656,0.661
7DCO_1_B,0.66,0.66,0.66,0.66
7RQB_1_1B,0.973,0.973,0.973,0.973
4PR6_1_B,0.636,1.0,0.778,0.798
4X4V_1_B,1.0,1.0,1.0,1.0
6HC5_1_A,0.667,0.8,0.727,0.73
7R81_1_B1,0.889,0.889,0.889,0.889
1S03_1_B,0.889,0.889,0.889,0.889
